,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
12,F,San,182,132,114,128,101.5,99,71.5,49,29,33,SF
13,F,San,172,135,117,114,89,86,61,42.5,25,33,SF
14,F,San,176,127,120,121,93,88,61,47,26,34,SF
15,F,San,179,130,125,124,94,93,65,47,26,31,SF
16,F,San,181,130,125,132,103,102,61,46,27.5,28,SF
17,F,San,182,145,127,121,91,86,57,44,26,32,SF
18,F,San,175,129.5,124,125,90,88,54,42,26,30,SF
19,F,San,175,130,121,119,94,90,59,44,25,31,SF
20,F,San,172,142,119.1485433,127.1456756,91.26013275,90.91962244,59.78693666,43.27023705,25.09685809,31.13709456,SF
21,F,San,178,127,125,116,91,92,53,40,25,27,SF
337,F,thai,161,134,122,132,94,90,66,51,24,32,thaiF
338,F,thai,161,143,123,137,95,98,58,42,26,29,thaiF
339,F,thai,163,123,128,133,95,94,70,52,28,30,thaiF
340,F,thai,174,123,128,124,97,103,63,49,32,32,thaiF
341,F,thai,154,125,125,129,91,94,62,45,28,30,thaiF
342,F,thai,168,139,127,126,92,96,66,51,26,30,thaiF
343,F,thai,164,137,130,136,96,101,70,48,29,31,thaiF
344,F,thai,167,124,121,124,95,92,59,46,26,29,thaiF
345,F,thai,154,138,128,130,94,97,66,46,26,33,thaiF
346,F,thai,168,129,122,129,100,102,63,45,28,31,thaiF
347,F,thai,163,134,121,136,92,88,65,50,26,32,thaiF
348,F,thai,163,130,127,135,103,103,66,49,27,32,thaiF
349,F,thai,168,134,132,138,100,101,65,48,28,32,thaiF
350,F,thai,169,128,129,130,98,104,67,50,29,32,thaiF
351,F,thai,153,134,124,127,91,97,68,48,25,32,thaiF
352,F,thai,171,132,123,132,99,106,71,50,24,34,thaiF
353,F,thai,171,128,122,138,100,103,65,47,24,32,thaiF
177,F,W,182,136,118,123,89,86,63,44,26,34,WF
178,F,W,176.1294888,133,115,129.4234036,95,85,65,50,23,32,WF
179,F,W,171,135,116,124,89,81,62,47,22,34,WF
180,F,W,175.9575639,129,116,127.4899908,95,90,65,49,24,34,WF
181,F,W,183.56132,144,121,128,91,86,63,48,25,33,WF
182,F,W,178.216185,123,118,130.0789281,98,93,70,50,24,37,WF
183,F,W,184,132,126,126,100,95,72,54,24,38,WF
184,F,W,176.4073271,131.3623361,118,130.9255761,99,88,61,47,20,35,WF
185,F,W,180,141,120,134,95,93,67,51,22,34,WF
186,F,W,172.0850405,134,122,122.9747043,88,86,62,48,24,38,WF
187,F,W,179,145,123,132,100,95,66,51,25,33,WF
188,F,W,172,127,114,125.972204,92,87,62,46,21,34,WF
189,F,W,183.4689212,138,123,134.5676247,99,90,67,47,24,35,WF
